Distance,Fluorescence,Marker,Condition,Time,Replicate
393.961,44.2397,Hoxd4,0,117h,1
394.718,45.0283,Hoxd4,0,117h,1
395.476,46.4721,Hoxd4,0,117h,1
396.234,47.56,Hoxd4,0,117h,1
396.991,47.6741,Hoxd4,0,117h,1
397.749,46.2671,Hoxd4,0,117h,1
398.507,45.1,Hoxd4,0,117h,1
399.264,43.8799,Hoxd4,0,117h,1
400.022,42.7862,Hoxd4,0,117h,1
400.779,41.9812,Hoxd4,0,117h,1
401.537,41.6414,Hoxd4,0,117h,1
402.295,41.8311,Hoxd4,0,117h,1
403.052,42.9949,Hoxd4,0,117h,1
403.81,43.4802,Hoxd4,0,117h,1
404.568,43.4806,Hoxd4,0,117h,1
405.325,42.7379,Hoxd4,0,117h,1
406.083,42.6813,Hoxd4,0,117h,1
406.84,42.0867,Hoxd4,0,117h,1
407.598,41.4147,Hoxd4,0,117h,1
408.356,41.8024,Hoxd4,0,117h,1
409.113,43.7831,Hoxd4,0,117h,1
409.871,45.0377,Hoxd4,0,117h,1
410.628,45.4241,Hoxd4,0,117h,1
411.386,45.3654,Hoxd4,0,117h,1
412.144,44.1207,Hoxd4,0,117h,1
412.901,42.0485,Hoxd4,0,117h,1
413.659,40.6405,Hoxd4,0,117h,1
414.417,40.6672,Hoxd4,0,117h,1
415.174,41.0758,Hoxd4,0,117h,1
415.932,41.7817,Hoxd4,0,117h,1
416.689,41.7181,Hoxd4,0,117h,1
417.447,40.5145,Hoxd4,0,117h,1
418.205,39.9394,Hoxd4,0,117h,1
418.962,41.1665,Hoxd4,0,117h,1
419.72,42.1939,Hoxd4,0,117h,1
420.477,41.5765,Hoxd4,0,117h,1
421.235,39.7844,Hoxd4,0,117h,1
421.993,38.9606,Hoxd4,0,117h,1
422.75,38.9318,Hoxd4,0,117h,1
423.508,37.925,Hoxd4,0,117h,1
424.266,37.3273,Hoxd4,0,117h,1
425.023,37.5642,Hoxd4,0,117h,1
425.781,37.937,Hoxd4,0,117h,1
426.538,37.5043,Hoxd4,0,117h,1
427.296,37.1642,Hoxd4,0,117h,1
428.054,36.8234,Hoxd4,0,117h,1
428.811,36.6203,Hoxd4,0,117h,1
429.569,36.935,Hoxd4,0,117h,1
430.326,36.8346,Hoxd4,0,117h,1
431.084,36.5304,Hoxd4,0,117h,1
431.842,36.4813,Hoxd4,0,117h,1
432.599,36.3401,Hoxd4,0,117h,1
433.357,36.1627,Hoxd4,0,117h,1
434.115,35.8944,Hoxd4,0,117h,1
434.872,35.1445,Hoxd4,0,117h,1
435.63,35.2388,Hoxd4,0,117h,1
436.387,35.4764,Hoxd4,0,117h,1
437.145,36.9211,Hoxd4,0,117h,1
437.903,37.4732,Hoxd4,0,117h,1
438.66,37.0953,Hoxd4,0,117h,1
439.418,37.3249,Hoxd4,0,117h,1
440.176,37.0484,Hoxd4,0,117h,1
440.933,36.5077,Hoxd4,0,117h,1
441.691,36.8634,Hoxd4,0,117h,1
442.448,36.8875,Hoxd4,0,117h,1
443.206,36.8302,Hoxd4,0,117h,1
443.964,36.6572,Hoxd4,0,117h,1
444.721,36.3211,Hoxd4,0,117h,1
445.479,35.5244,Hoxd4,0,117h,1
446.236,34.518,Hoxd4,0,117h,1
446.994,33.3618,Hoxd4,0,117h,1
447.752,32.7041,Hoxd4,0,117h,1
448.509,32.8828,Hoxd4,0,117h,1
449.267,33.5846,Hoxd4,0,117h,1
