gene_id	gene_short_name	96h_Snai1KO_Clone2_rep1	96h_Snai1KO_Clone2_rep2	96h_WT_rep4	96h_WT_rep5	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000055148	Klf2	166.743234663361	147.382031559826	20.6747252456925	19.7762681070922	88.6440648939929	2.96043044509786	0.345839203078147	8.56013551601005	1.12734928948788e-17	2.66761862913549e-16
ENSMUSG00000019852	Arfgef3	271.576852496266	282.482227156333	83.7870444167538	59.3288043212765	174.293732097657	1.95769893661995	0.228931329980903	8.55146797418799	1.21532798604049e-17	2.85662843118816e-16
ENSMUSG00000043964	Orai3	675.227554230838	694.481997198575	341.677038270918	303.565715443865	503.738076286049	1.08684270355609	0.127188925762346	8.54510482765512	1.28419653597595e-17	3.01348148866371e-16
ENSMUSG00000041959	S100a10	534.073627857399	573.896698649626	236.127125174488	242.259284311879	396.589183998348	1.2096888923615	0.141724290258619	8.53550855787712	1.39540277532373e-17	3.26899756484893e-16
ENSMUSG00000071076	Jund	576.172167302109	543.750374012389	256.80185042018	195.785054260213	393.127361498723	1.31157625156139	0.153669460187432	8.53504821297382	1.40096995188099e-17	3.27659688745897e-16
ENSMUSG00000035246	Pcyt1b	602.58693714977	636.42240900834	284.005436269776	283.789447336773	451.701057441165	1.12449261607179	0.13204596121968	8.51591828848911	1.65275343332445e-17	3.84633360893973e-16
ENSMUSG00000029484	Anxa3	374.759547213693	326.026918299009	108.814343398381	118.657608642553	232.064604388409	1.62486256642158	0.191109350578472	8.50226617119078	1.85924901463638e-17	4.31266264036461e-16
ENSMUSG00000024921	Smarca2	146.932157277615	161.896928607385	434.169230159542	396.514175547198	284.878122897935	-1.43106957471503	0.1686415614878	-8.485865299691	2.14119362501663e-17	4.95036945796878e-16
ENSMUSG00000021953	Tdh	182.42700426041	164.129989691625	27.2035858495954	28.6755887552837	100.609042139228	2.63370256904451	0.311068618167929	8.46662895330291	2.52597147527748e-17	5.83040519080822e-16
ENSMUSG00000035226	Rims4	737.137171061294	690.015875030095	350.382185742788	348.062318684822	531.39938762975	1.03252885412923	0.122251077409227	8.44596936084994	3.01532777195248e-17	6.91466139314566e-16
