gene	AverageSnai1log2FC	ConcordentSnai1log2FCSign	MaxpValueSnai1	Clone1	Clone2
2610528A11Rik	-4.03246805135424	TRUE	7.45324870633242e-06	-5.03670478629856	-3.02823131640991
Slc7a7	2.27339919971663	TRUE	1.01745583501005e-59	2.34215796571388	2.20464043371938
Parp4	2.70158855229307	TRUE	1.08063828226499e-11	2.36953212714949	3.03364497743666
Tdh	2.60799770470902	TRUE	4.84763668965514e-15	2.58229284037353	2.63370256904451
Ephx2	2.45564979079851	TRUE	3.23142669915973e-61	2.52708208786077	2.38421749373626
Piwil4	-4.55523531442722	TRUE	7.40642613547077e-06	-5.56177827493195	-3.54869235392248
S1pr5	-3.36710641882894	TRUE	3.73439465490665e-19	-3.98978136271929	-2.74443147493859
Ap1m2	2.84229554743249	TRUE	3.53334078422111e-25	2.84560587253311	2.83898522233186
Acp5	2.5882868075343	TRUE	3.40068511435339e-06	2.66938695145265	2.50718666361595
Adamts15	2.27353711511601	TRUE	2.66593303111919e-26	2.39574277995271	2.15133145027931
Scn4b	2.38923099248223	TRUE	2.93626807050276e-13	2.49967324130925	2.27878874365521
Tagln	4.92256369734256	TRUE	2.91233434517858e-19	5.04625009149852	4.79887730318659
Zbtb16	-2.73105287114497	TRUE	1.20122741537233e-77	-3.04063966484638	-2.42146607744355
Arhgap20	2.71954937681439	TRUE	8.33946524336864e-14	2.94249948539505	2.49659926823373
Aldh1a2	-2.93897272023193	TRUE	1.51429855977192e-69	-3.32509984007245	-2.55284560039141
Dppa5a	2.38770028698409	TRUE	4.88870105046991e-40	1.96871124858019	2.80668932538798
Pcolce2	-2.35106382149444	TRUE	3.16490286872362e-29	-2.41428213085955	-2.28784551212932
Foxl2	-2.59091129845593	TRUE	4.55994788678454e-07	-2.82538936324905	-2.35643323366281
Ackr4	3.59587395165505	TRUE	3.87065506474776e-06	3.79811952343027	3.39362837987983
Col6a5	3.41533742487754	TRUE	2.61746559779738e-20	3.45931493834663	3.37135991140846
Pth1r	-2.00576742581125	TRUE	2.98947467268143e-14	-2.01006627318966	-2.00146857843283
Tdgf1	3.05976203292828	TRUE	1.1344758938878e-17	2.58984180252968	3.52968226332688
Cabp7	2.94565084419833	TRUE	5.6424583145574e-67	3.11204022935606	2.77926145904061
Meis1	-2.27874250228488	TRUE	1.4681883073212e-20	-2.26924006424942	-2.28824494032033
Bcl11a	2.88983864795209	TRUE	9.85108381946779e-07	3.13513882309961	2.64453847280456
Ccdc85a	2.41607905095442	TRUE	1.52044510997735e-07	2.44664693735965	2.38551116454918
Irgm1	4.08633002285069	TRUE	7.25783741702019e-37	3.63172580230526	4.54093424339611
Grm6	3.89554533012917	TRUE	2.60497629338422e-06	4.03424705147313	3.75684360878521
Sparc	2.01320469179087	TRUE	1.27724760670276e-39	2.06744188964325	1.9589674939385
Igtp	3.55903004679638	TRUE	2.05415800504441e-18	3.0077808767651	4.11027921682767
Irgm2	4.00533980188996	TRUE	5.6632617563491e-35	3.57059180980081	4.44008779397911
Chrnb1	2.25288360024781	TRUE	1.01270290654419e-12	2.17256595682819	2.33320124366743
Cldn7	3.20470841413404	TRUE	9.65681050960872e-48	3.15657288561565	3.25284394265244
Alox12e	3.32190891380345	TRUE	1.13491265853104e-09	3.18627243403991	3.457545393567
Alox15	2.54000504860961	TRUE	2.94950233358489e-302	2.42394673711053	2.65606336010869
Pipox	2.04964566362404	TRUE	2.99915035885339e-20	2.1586514589305	1.94063986831759
Lhx1	-2.16478232006711	TRUE	5.45165979924821e-37	-2.34662392384119	-1.98294071629304
Ngfr	-2.35238601307177	TRUE	1.99990603083507e-23	-2.39292815327036	-2.31184387287319
B4galnt2	3.19361198722305	TRUE	6.9043393202002e-06	2.76723285395606	3.61999112049003
Meox1	-2.15922333449693	TRUE	4.90486733635916e-10	-2.0800163807454	-2.23843028824846
Gm11627	2.30129098647842	TRUE	2.18837350747378e-06	2.51443178320207	2.08815018975477
Meioc	2.09036322890987	TRUE	4.07252459446061e-15	2.10712229696026	2.07360416085948
Wnt3	2.43576897499771	TRUE	2.01303712573273e-09	2.37760906197783	2.49392888801758
Rnf213	-2.57546104527716	TRUE	1.88944069299978e-150	-3.09080163892581	-2.06012045162851
Pou6f2	2.97399336314264	TRUE	1.28019071205976e-06	3.21388474123926	2.73410198504603
Foxc1	-3.63950490834241	TRUE	2.49439848687807e-133	-3.9859926385276	-3.29301717815722
Rbm24	-2.86241636544117	TRUE	6.269802903062e-12	-3.13220836688908	-2.59262436399327
S1pr3	-3.42311612047649	TRUE	1.62451601063596e-39	-3.9615514341384	-2.88468080681459
Erap1	2.01428462733485	TRUE	4.85974444238951e-26	1.66690342973424	2.36166582493546
Naip5	2.25686350636717	TRUE	9.50253078822856e-06	2.25802890594281	2.25569810679152
Naip6	2.07801157351929	TRUE	1.68180757201741e-14	2.11705580417743	2.03896734286115
Ccno	3.50770196851518	TRUE	5.07991262720881e-17	3.02468252856332	3.99072140846703
Fst	2.30458382597483	TRUE	3.13149274366633e-298	2.57004810688003	2.03911954506963
Trim9	-3.10430646778547	TRUE	6.51189104697201e-33	-3.40723178526663	-2.80138115030431
Dact1	-2.04077081753111	TRUE	5.63733397726589e-56	-2.23011392215906	-1.85142771290315
Sptb	2.28076657814605	TRUE	6.81070919760251e-67	2.37865104066454	2.18288211562756
Smoc1	-3.14947066676998	TRUE	2.05677215385769e-89	-3.45639586089301	-2.84254547264695
Prox2	-2.2013577972143	TRUE	3.74201311895352e-05	-2.07687343978242	-2.32584215464618
Irf2bpl	2.05819706133471	TRUE	2.73270238919434e-42	1.88235099047021	2.2340431321992
Ppp4r4	2.2016454283524	TRUE	2.63557376060637e-107	2.1502115120348	2.25307934467
Dpys	2.73108972753678	TRUE	2.44897114954376e-07	2.8878585351632	2.57432091991036
Mal2	3.41897404421206	TRUE	4.61331392936686e-09	3.46763002574637	3.37031806267775
Enpp2	3.56295258101869	TRUE	1.61768923473979e-13	3.60960255669589	3.51630260534149
Adcy8	-3.29744905459082	TRUE	4.93319432709238e-07	-3.71404455240234	-2.8808535567793
Parp10	2.68384438745626	TRUE	8.61836606388763e-25	2.24695171488313	3.1207370600294
Cbx7	2.01692481548568	TRUE	5.23907019235469e-35	2.19431807792457	1.83953155304679
Nfam1	-3.32730639156425	TRUE	2.70037339398646e-32	-3.06126846121883	-3.59334432190967
Arhgap8	2.94696707184023	TRUE	4.4172722225386e-06	2.77962405607093	3.11431008760953
Lrrk2	2.24152070355332	TRUE	2.51838629298744e-11	2.44275613858365	2.04028526852298
Hoxc8	-2.8452640781085	TRUE	1.74937440050582e-111	-3.1286555982897	-2.5618725579273
Hoxc6	-2.40465087290783	TRUE	1.20776327526836e-30	-2.78170099443841	-2.02760075137725
Ppl	2.67984717310068	TRUE	3.19880147151025e-51	2.72091100005656	2.6387833461448
Bmerb1	3.14709018103126	TRUE	2.94030649515017e-09	3.2784899112071	3.01569045085542
