"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cdc42ep1",3.90855012540315e-25,0.605412452020151,0.382,0.046,1.29029056739809e-20,"Endothelial","Cdc42ep1"
"Emilin1",4.35901292979469e-25,0.962316492578985,0.473,0.07,1.43899734838382e-20,"Endothelial","Emilin1"
"Arpc1b.2",5.75168987981914e-25,1.47184152302011,0.764,0.441,1.8987478631259e-20,"Endothelial","Arpc1b"
"Exoc3l",1.2753167080061e-24,0.701384423740937,0.318,0.018,4.21007551646972e-20,"Endothelial","Exoc3l"
"B3gnt2",1.54248568490759e-24,0.824268572834202,0.436,0.075,5.09205374301694e-20,"Endothelial","B3gnt2"
"Adam12",1.63851159668282e-24,0.558738640389414,0.282,0.005,5.40905448296934e-20,"Endothelial","Adam12"
"Ifitm1.6",2.45950317650353e-24,-2.28791419241887,0.282,0.802,8.11931188627346e-20,"Endothelial","Ifitm1"
"Gimap4",2.81442346133471e-24,0.560105682230448,0.245,0,9.29097473055815e-20,"Endothelial","Gimap4"
"Samsn1",2.81442346133471e-24,0.521278351203736,0.245,0,9.29097473055815e-20,"Endothelial","Samsn1"
"Sh2d3c",3.96201743574386e-24,0.65499407604057,0.4,0.04,1.30794119588776e-19,"Endothelial","Sh2d3c"
"Igdcc3.5",5.59787676295878e-24,-1.2158101574724,0.209,0.774,1.84797107698795e-19,"Endothelial","Igdcc3"
"Cavin3",8.10004767473193e-24,0.766093081171921,0.282,0.017,2.6739877383825e-19,"Endothelial","Cavin3"
"Maged2.3",9.1427387255682e-24,1.67727088874054,0.791,0.529,3.01820090808457e-19,"Endothelial","Maged2"
"Eng",2.53571159261296e-23,0.65558086997719,0.318,0.025,8.37089110953391e-19,"Endothelial","Eng"
"Pclaf.1",2.54605254891088e-23,-1.20323383109878,0.509,0.953,8.40502867446461e-19,"Endothelial","Pclaf"
"Sox11.3",2.57567533061763e-23,-1.36130318424379,0.536,0.931,8.50281940143493e-19,"Endothelial","Sox11"
"Vash1",2.78207320654533e-23,0.895001316846738,0.491,0.114,9.18418006944746e-19,"Endothelial","Vash1"
"Sat1",3.33534614886989e-23,1.52944414004043,0.6,0.217,1.10106447066493e-18,"Endothelial","Sat1"
"Col4a2.2",3.72668921738391e-23,1.46579739930571,0.664,0.248,1.23025464444278e-18,"Endothelial","Col4a2"
"Ctsb",4.34649227624895e-23,1.29342575554656,0.755,0.424,1.4348640302353e-18,"Endothelial","Ctsb"
"Col4a1.8",9.87181037817062e-23,1.71413885564957,0.727,0.392,3.25888204204169e-18,"Endothelial","Col4a1"
"Pde4b",1.0341069805284e-22,0.612894518940192,0.3,0.016,3.41379396412036e-18,"Endothelial","Pde4b"
"Lxn",1.3982349522254e-22,1.12704788958598,0.6,0.191,4.61585322428651e-18,"Endothelial","Lxn"
"Srgap1",1.51444458625693e-22,0.720567300351994,0.436,0.095,4.99948446815138e-18,"Endothelial","Srgap1"
"Gpihbp1",1.62915577133217e-22,0.745820069118705,0.227,0,5.37816903232178e-18,"Endothelial","Gpihbp1"
"Dek",1.81103657268212e-22,-0.998489667248449,0.764,0.981,5.9785939337382e-18,"Endothelial","Dek"
"Tln1",1.9423216955115e-22,0.994401621234348,0.682,0.329,6.41199238122258e-18,"Endothelial","Tln1"
"Lpar6",2.06650378473e-22,1.13460394024719,0.727,0.336,6.82194229415067e-18,"Endothelial","Lpar6"
"Cmtm3",2.0770073159667e-22,0.945563124554663,0.564,0.132,6.85661655146927e-18,"Endothelial","Cmtm3"
"Afap1l1",2.71320384294854e-22,0.808505378671695,0.382,0.05,8.95682852634172e-18,"Endothelial","Afap1l1"
"Lin28a.8",3.17767778655942e-22,-1.00010835065992,0.127,0.653,1.049014990899e-17,"Endothelial","Lin28a"
"Cebpd",4.00434754991084e-22,0.659171606972644,0.355,0.048,1.32191521317657e-17,"Endothelial","Cebpd"
"Rrm2.2",4.06047144788333e-22,-1.05415684590282,0.309,0.848,1.34044283437525e-17,"Endothelial","Rrm2"
"Tal1",7.0051404140901e-22,0.502216393216068,0.255,0.003,2.31253695349942e-17,"Endothelial","Tal1"
