 ,Label,Area,Date,Version,Thresholding_method,BaseImage,ROI,Mean_channel1,Std_channel1,Median_channel1,Mode_channel1,Mean_channel2,Std_channel2,Median_channel2,Mode_channel2,Mean_channel4,Std_channel4,Median_channel4,Mode_channel4
5768,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5768_44,59.819,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5768_44,131.693,29.257,131,138,49.670,9.130,53,53,129.839,13.364,129,121
5769,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5769_44,47.269,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5769_44,109.509,22.099,107,100,36.991,8.469,34,33,112.807,10.808,112,108
5770,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5770_44,28.606,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5770_44,115.148,21.746,115,137,63.684,12.511,61,60,141.245,12.166,142,143
5771,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5771_44,41.482,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5771_44,121.397,27.005,124,126,50.473,8.288,53,46,132.525,14.645,129,125
5772,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5772_44,105.621,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5772_44,117.754,24.549,117,122,64.054,14.229,66,60,146.044,13.769,146,146
5773,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5773_44,44.579,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5773_44,123.585,26.099,126,132,48.605,8.230,47,46,120.559,12.641,120,121
5774,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5774_44,29.747,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5774_44,91.992,16.569,90,76,57.378,11.254,60,60,144.778,11.069,143,142
5775,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5775_44,44.579,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5775_44,121.090,23.598,121,119,65.346,9.233,66,60,151.408,11.336,152,155
5776,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5776_44,39.363,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5776_44,129.679,29.333,126,118,67.476,10.086,67,60,151.830,10.931,153,150
5777,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif:ROI_5777_44,29.258,2024-08-25_09-37,AllFluoNuclei_v20240729,Moments,IF1_rescan_WT_78h_Snai1_Rab_ECAD_TBX6_FCS_01Triton_2024_07_ 16.lif - Image 1.tif,ROI_5777_44,106.602,23.594,106,125,46.214,8.505,46,40,116.969,10.589,117,117
